Technique,Description,Ranking,Role,Paper,Summary,Claude Reasoning,DOI URL,Consensus paper URL,Consensus search URL,ChatGPT Judgment,ChatGPT Critique,Claude Assessment of GPT,Claude Assessment Reasoning
Life audit,"Rate major life domains, choose the lowest rated high-value domain, and set one action.",Moderate-to-Strong,Primary,"Russo-Netzer & Atad, 2024, Frontiers in Psychology","RCT, N=476; choosing a valued life area, affirming it, and planning one action raised self-insight and coherence and cut psychopathology vs. controls.","This RCT operationalizes the life-audit sequence almost exactly (rate/choose a valued domain, set one action) and shows well-being gains over affirmation-only and no-treatment controls.",https://doi.org/10.3389/fpsyg.2024.1375237,https://consensus.app/papers/details/821391cc71025765a3976e0923404fc2/?utm_source=claude_code,https://consensus.app/search/new?q=personal+goal+setting+values+affirmation+written+life+goals+well-being+randomized+intervention&utm_source=claude_code&mode=quick,Mostly agree,"This is close to values-based action planning, but a “life audit” usually involves a broader assessment across life domains. The paper supports one values/action component rather than the entire audit practice.",Agree,Fair point that a full life audit spans multiple domains while this RCT tests one valued-domain action sequence. It still operationalizes the core mechanism closely and shows gains over active controls.
Life audit,"Rate major life domains, choose the lowest rated high-value domain, and set one action.",Moderate-to-Strong,Backup 1,"Karanasiou et al., 2025, Neuropsychological Rehabilitation","Pilot RCT, N=24 acquired brain injury; values-based goal-setting yielded greater wellbeing (d=0.30) and motivation than standard goal-setting.","A randomized comparison showing embedding a chosen action in valued domains outperforms generic goal-setting on wellbeing, though small and in a clinical sample.",https://doi.org/10.1080/09602011.2025.2471795,https://consensus.app/papers/details/59df412c76e55a47af583e8f55a48907/?utm_source=claude_code,https://consensus.app/search/new?q=personal+goal+setting+values+affirmation+written+life+goals+well-being+randomized+intervention&utm_source=claude_code&mode=quick,Mostly agree,"Useful values-based goal-setting evidence, but the trial is very small and in acquired brain injury rehabilitation. It is weak as broad general-population evidence.",Agree,"I agree it is a very small (N=24) clinical brain-injury pilot, weak as general-population evidence; my reasoning already flagged the small clinical sample. It serves only as corroborating backup."
Deep Work,Schedule distraction-free blocks for cognitively demanding work and remove communication channels.,Moderate-to-Strong,Primary,"Addas & Pinsonneault, 2018, MIS Quarterly",Two field studies (N=365 survey; N=212 diary) of sales pros; irrelevant e-mail interruptions raised workload and indirectly hurt performance.,"Large field evidence that removing irrelevant communication interruptions protects performance, directly supporting blocking communication channels for demanding work.",https://doi.org/10.25300/MISQ/2018/13157,https://consensus.app/papers/details/98215a0b53f758f48f080b96359a58ea/?utm_source=claude_code,https://consensus.app/search/new?q=workplace+interruptions+email+distraction+cognitive+performance+productivity+experiment+focused+attention&utm_source=claude_code&mode=quick,Mostly agree,"The interruption evidence supports protecting focus, but it is not a direct test of the full Deep Work practice. It mainly shows that irrelevant email interruptions harm workload/performance.",Agree,"ChatGPT is right that this tests interruption costs, not the full Deep Work practice. That is the construct-breadth pattern I already acknowledged, and protecting focus from interruptions is the load-bearing component."
Deep Work,Schedule distraction-free blocks for cognitively demanding work and remove communication channels.,Moderate-to-Strong,Backup 1,"May & Elder, 2018, Int. J. Educational Technology in Higher Education","Literature review; media multitasking and divided attention consistently impaired GPA, test performance, recall, and comprehension.","Synthesized evidence that splitting attention across channels degrades cognitively demanding performance, justifying distraction-free blocks; review-level rather than single RCT.",https://doi.org/10.1186/s41239-018-0096-z,https://consensus.app/papers/details/c9fa82e2bc315a7798bacf11299db65e/?utm_source=claude_code,https://consensus.app/search/new?q=attention+residue+task+switching+multitasking+cognitive+performance+decrement&utm_source=claude_code&mode=quick,Mostly agree,"Good support against media multitasking, but this is a literature review rather than a direct experiment on scheduled deep-work blocks.",Partially agree,"Correct that it is a literature review, not a scheduled-block experiment, and I labeled it review-level myself. As a backup, synthesizing the multitasking-harms-performance evidence is precisely its corroborating role."
Deep Work,Schedule distraction-free blocks for cognitively demanding work and remove communication channels.,Moderate-to-Strong,Backup 2,"Schweisfurth & Greven, 2023, Organization Science",Natural experiment; intrusions (interruptions without idle time) reduced creative performance as employees switched attention away from work.,"Quasi-experimental evidence that unplanned intrusions impair cognitively demanding (creative) output via attention residue, supporting protecting focused blocks.",https://doi.org/10.1287/orsc.2022.1573,https://consensus.app/papers/details/e748f51592ba54318c2d72e55dbf5a15/?utm_source=claude_code,https://consensus.app/search/new?q=workplace+interruptions+email+distraction+cognitive+performance+productivity+experiment+focused+attention&utm_source=claude_code&mode=quick,Mostly agree,"Useful quasi-experimental support that intrusions hurt creative work, but it supports one component of Deep Work—avoiding interruptions—rather than the whole technique.",Partially agree,"I agree it supports the avoid-intrusions component rather than the whole technique, but that is the point of a backup; the quasi-experimental design actually strengthens the causal story behind protected blocks."
Sleep stimulus control,"Use bed only for sleep and sex, leave if awake too long, and keep a consistent wake time.",Moderate-to-Strong,Primary,"Jansson-Fröjmark et al., 2024, Journal of Sleep Research","Systematic review & meta-analysis, 11 RCTs; stimulus control improved sleep onset latency and total sleep time vs. passive controls (g=0.38–0.85).","A meta-analysis of RCTs of the exact stimulus-control protocol shows small-to-large sleep improvements, the strongest on-target evidence for this technique.",https://doi.org/10.1111/jsr.14002,https://consensus.app/papers/details/80755bedbeb85b08a811994907934790/?utm_source=claude_code,https://consensus.app/search/new?q=stimulus+control+therapy+insomnia+randomized+controlled+trial+sleep+efficiency&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Sleep stimulus control,"Use bed only for sleep and sex, leave if awake too long, and keep a consistent wake time.",Moderate-to-Strong,Backup 1,"Verreault et al., 2024, Journal of Sleep Research","Systematic review & network meta-analysis, 23 randomized studies; stimulus control alone effectively improved insomnia vs. control conditions.","A network meta-analysis isolating stimulus control as a standalone component confirms efficacy, strengthening the evidence base beyond bundled CBT-I.",https://doi.org/10.1111/jsr.14008,https://consensus.app/papers/details/2c57c1ce2fc458c198d7094f03bdf494/?utm_source=claude_code,https://consensus.app/search/new?q=stimulus+control+therapy+insomnia+randomized+controlled+trial+sleep+efficiency&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Sleep stimulus control,"Use bed only for sleep and sex, leave if awake too long, and keep a consistent wake time.",Moderate-to-Strong,Backup 2,"Edinger et al., 2001, JAMA","Double-blind RCT, N=75; CBT incorporating stimulus control cut wake-after-sleep-onset 54% vs. 16% (relaxation) and 12% (placebo), durable at 6 months.","A landmark placebo-controlled RCT where stimulus control is a core component, demonstrating large, durable sleep improvements.",https://doi.org/10.1001/jama.285.14.1856,https://consensus.app/papers/details/dacbb76c9b265eba97ad73c817b4bc91/?utm_source=claude_code,https://consensus.app/search/new?q=stimulus+control+therapy+insomnia+randomized+controlled+trial+sleep+efficiency&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Fixed wake time,"Wake at the same time every day, including weekends, to stabilize the sleep-wake rhythm.",Moderate-to-Strong,Primary,"Windred et al., 2024, Sleep","Prospective cohort, N=60,977 (UK Biobank accelerometry); higher sleep regularity predicted 20–48% lower all-cause mortality, beating sleep duration.","A very large objective cohort showing consistent sleep-wake timing strongly predicts survival, the best-powered evidence that regularizing wake time matters.",https://doi.org/10.1093/sleep/zsad253,https://consensus.app/papers/details/e6fc23b1e4d75a1d9215f67c9faed8ae/?utm_source=claude_code,https://consensus.app/search/new?q=sleep+regularity+index+mortality+risk+prospective+cohort+UK+Biobank+accelerometer&utm_source=claude_code&mode=quick,Partially agree,"Very large and important evidence, but it is observational. It supports sleep regularity as a health marker and possible target, not a causal test of setting a fixed wake time.",Agree,"ChatGPT is right this is observational and shows regularity as a marker, not a causal test of imposing a fixed wake time. The huge objective cohort still makes it the best-powered support, with the caveat noted."
Fixed wake time,"Wake at the same time every day, including weekends, to stabilize the sleep-wake rhythm.",Moderate-to-Strong,Backup 1,"Sletten et al., 2023, Sleep Health",National Sleep Foundation consensus statement (63 studies); expert panel concluded consistent sleep onset/offset timing is important for health and performance.,"A formal Delphi consensus of sleep experts endorses regular wake/sleep timing for health, providing authoritative synthesis backing the fixed-wake-time practice.",https://doi.org/10.1016/j.sleh.2023.07.016,https://consensus.app/papers/details/f1dd88f1314c5b53bc55f29a272a5673/?utm_source=claude_code,https://consensus.app/search/new?q=regular+consistent+sleep+schedule+wake+time+variability+circadian+regularity+health+outcomes&utm_source=claude_code&mode=quick,Mostly agree,"Expert consensus is useful, but it is not itself an intervention trial. It should be treated as guideline support rather than direct evidence that the self-help technique works.",Agree,"I agree a consensus statement is guideline-level synthesis, not an intervention trial, and should be framed as authoritative endorsement rather than direct proof. That is how a Delphi-consensus backup should read."
Fixed wake time,"Wake at the same time every day, including weekends, to stabilize the sleep-wake rhythm.",Moderate-to-Strong,Backup 2,"Chaput et al., 2020, Applied Physiology, Nutrition, and Metabolism","Systematic review, 41 studies/N=92,340; greater sleep-timing variability and irregular wake times were associated with adverse health outcomes.","A large systematic review concluding consistent bedtimes/wake-up times favor health, supporting the rationale for a fixed wake time; observational evidence.",https://doi.org/10.1139/apnm-2020-0032,https://consensus.app/papers/details/e88d16440d38574e9c1fddb7c2ba6054/?utm_source=claude_code,https://consensus.app/search/new?q=regular+consistent+sleep+schedule+wake+time+variability+circadian+regularity+health+outcomes&utm_source=claude_code&mode=quick,Partially agree,"This is observational systematic-review evidence. It supports the rationale for regular sleep timing, but it cannot rule out confounding or show that imposing a fixed wake time causes better outcomes.",Agree,Correct that this is observational systematic-review evidence subject to confounding; I already labeled it observational. As a backup it adds large-N convergent support for the regularity rationale.
SMART goals,"Convert a vague aim into a Specific, Measurable, Achievable, Relevant, and Time-bound target.",Moderate Evidence,Primary,"Epton et al., 2017, Journal of Consulting and Clinical Psychology","Meta-analysis, 141 papers, 384 effect sizes (N=16,523): goal setting had a small unique effect on behavior change (d=.34), strongest when goals were difficult and specific.","Largest RCT-based meta-analysis of goal setting confirms specific, difficult goals (the S/M/A/T core of SMART) work, but the modest d=.34 effect fits a Moderate ranking.",https://doi.org/10.1037/ccp0000260,https://consensus.app/papers/details/57b1edb60170556ab63cfcd0089c86b6/?utm_source=claude_code,https://consensus.app/search/new?q=SMART+goal+setting+specificity+difficulty+performance+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"The evidence supports specific/difficult goals, but not the full SMART acronym as a package. It is correct to rank SMART as moderate, but the citation is really goal-setting evidence.",Agree,"I agree the evidence backs specific/difficult goals rather than the full SMART acronym, and ChatGPT endorses the Moderate ranking. My reasoning already tied d=.34 to the S/M/A/T core and the modest tier."
SMART goals,"Convert a vague aim into a Specific, Measurable, Achievable, Relevant, and Time-bound target.",Moderate Evidence,Backup 1,"Mento et al., 1987, Organizational Behavior and Human Decision Processes","Classic meta-analysis (1966-1984) showing strong support for goal difficulty and goal specificity/difficulty effects on task performance, with feedback amplifying gains.","Foundational meta-analysis establishing that specific, hard goals (SMART's S/M/A) outperform vague 'do-best' goals, supporting the construct while predating modern field RCTs.",,https://consensus.app/papers/details/8fa6860e87975fe2b78d79fe88f0400a/?utm_source=claude_code,https://consensus.app/search/new?q=SMART+goal+setting+specificity+difficulty+performance+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"Classic support for specificity/difficulty, but it predates modern risk-of-bias standards and does not test the full SMART framework.",Agree,"Fair that this 1987 meta-analysis predates modern risk-of-bias standards and tests specificity/difficulty, not full SMART. I framed it as foundational backup, and the construct it supports is the right one."
SMART goals,"Convert a vague aim into a Specific, Measurable, Achievable, Relevant, and Time-bound target.",Moderate Evidence,Backup 2,"Williamson et al., 2022, International Review of Sport and Exercise Psychology","Systematic review/meta-analysis, 27 studies: goal setting improved performance, but specific goals (d=.37) did not outperform non-specific goals (d=.72).","Adds honesty about limits: in sport contexts the 'Specific' element of SMART did not clearly beat non-specific goals, reflecting the mixed evidence behind a Moderate ranking.",https://doi.org/10.1080/1750984X.2022.2116723,https://consensus.app/papers/details/149f66599a0b55cdbd457f64a00efcb0/?utm_source=claude_code,https://consensus.app/search/new?q=SMART+goal+setting+specificity+difficulty+performance+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
WOOP,"Name the Wish, Outcome, Obstacle, and Plan an if-then response to the obstacle.",Moderate Evidence,Primary,"Wang et al., 2021, Frontiers in Psychology","Meta-analysis, 21 studies / 24 effect sizes (N=15,907): MCII (the WOOP procedure) improved goal attainment with a small-to-medium effect (g=0.336).",Directly meta-analyzes the exact Wish-Outcome-Obstacle-Plan (MCII) construct; the modest g=0.34 with noted publication bias matches a Moderate ranking.,https://doi.org/10.3389/fpsyg.2021.565202,https://consensus.app/papers/details/6b7622fe5dd45278858cbf92bec1ada0/?utm_source=claude_code,https://consensus.app/search/new?q=mental+contrasting+implementation+intentions+health+behavior+meta-analysis+effect+size&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
WOOP,"Name the Wish, Outcome, Obstacle, and Plan an if-then response to the obstacle.",Moderate Evidence,Backup 1,"Cross & Sheffield, 2019, Health Psychology Review","Systematic review/meta-analysis (N=1,528): mental contrasting improved health behavior (g=0.28 at 4 wks, 0.38 at 3 mo); adding implementation intentions did not clearly strengthen effects.","Confirms the mental-contrasting-plus-if-then-plan construct works in the short term but with small effects, and questions the added value of the 'Plan' step, fitting Moderate.",https://doi.org/10.1080/17437199.2019.1594332,https://consensus.app/papers/details/04b3dc50d03550e3846210ccad5f6111/?utm_source=claude_code,https://consensus.app/search/new?q=mental+contrasting+implementation+intentions+health+behavior+meta-analysis+effect+size&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
WOOP,"Name the Wish, Outcome, Obstacle, and Plan an if-then response to the obstacle.",Moderate Evidence,Backup 2,"Monin et al., 2021, Journals of Gerontology Series B","RCT, 45 dementia caregivers: WOOP training cut perceived stress (large effect) and raised quality of life and positive affect over 3 months versus education control.","A single on-target RCT of the literal WOOP protocol showing benefits, but small sample and a specialized population keep the overall evidence at Moderate.",https://doi.org/10.1093/geronb/gbab115,https://consensus.app/papers/details/a9fc6dc1eb6552cd9193150a452b1b67/?utm_source=claude_code,https://consensus.app/search/new?q=mental+contrasting+implementation+intentions+WOOP+intervention+randomized+controlled+trial&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Pomodoro Technique,"Work on one task for about 25 minutes, take a short break, and repeat.",Moderate Evidence,Primary,"Ogut, 2025, BMC Medical Education","Scoping review, 32 studies (N=5,270); across 3 RCTs structured Pomodoro intervals cut fatigue ~20% and improved distractibility and motivation vs self-paced breaks.","Broadest synthesis of the timed-work/short-break method; positive but built largely on observational studies and only 3 small RCTs, consistent with Moderate.",https://doi.org/10.1186/s12909-025-08001-0,https://consensus.app/papers/details/67184205679058cea31d2a6dc0032386/?utm_source=claude_code,https://consensus.app/search/new?q=Pomodoro+technique+timed+work+breaks+productivity+focus&utm_source=claude_code&mode=quick,Mostly agree,"A scoping review with only a few RCTs is relatively weak evidence. Moderate is reasonable, but the reasoning should avoid sounding as if Pomodoro is strongly established.",Agree,"ChatGPT is right that a scoping review resting on only 3 small RCTs is weak, and I should keep the wording from implying Pomodoro is strongly established. The Moderate tier already reflects that."
Pomodoro Technique,"Work on one task for about 25 minutes, take a short break, and repeat.",Moderate Evidence,Backup 1,"Biwer et al., 2023, British Journal of Educational Psychology","Experiment, 87 students: systematic 24-min-work/6-min-break ('Pomodoro') schedules yielded better mood and similar task completion in less time vs self-regulated breaks.","Real-world experiment directly testing the Pomodoro schedule shows mood and efficiency benefits, but no difference in mental effort or completion, fitting a Moderate rating.",https://doi.org/10.1111/bjep.12593,https://consensus.app/papers/details/06852aacfa6a584a9201d1b75eda9f2f/?utm_source=claude_code,https://consensus.app/search/new?q=Pomodoro+technique+timed+work+breaks+productivity+focus&utm_source=claude_code&mode=quick,Mostly agree,"Direct and useful experiment, but small student sample and limited outcome advantages. It supports mood/efficiency more than clear productivity gains.",Agree,"I agree the small student sample and limited outcome advantages mean it supports mood/efficiency more than clear productivity gains, which my own reasoning noted. Fits the Moderate rating."
Pomodoro Technique,"Work on one task for about 25 minutes, take a short break, and repeat.",Moderate Evidence,Backup 2,"Smits et al., 2025, Behavioral Sciences","Experiment, 94 students: 25/5 Pomodoro breaks led to faster fatigue increase and motivation decline, with no overall differences in productivity, completion, or flow.",A null/mixed-result experiment included for honesty: it tempers the technique's benefits and illustrates why evidence is Moderate rather than strong.,,https://consensus.app/papers/details/f7e7084f35f55484a60e92c21f312a4c/?utm_source=claude_code,https://consensus.app/search/new?q=Pomodoro+technique+timed+work+breaks+productivity+focus&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Time blocking,"Reserve calendar blocks in advance for specific work you want to do during them, for time to rest, for time to exercise, etc.",Moderate Evidence,Primary,"Häfner & Stock, 2010, The Journal of Psychology","RCT, 71 employees: time-management training (including scheduling techniques) raised perceived control of time and lowered stress, but did not improve performance indicators.","On-target RCT of scheduling/time-management techniques showing benefits to control and stress but no performance gain, a mixed result consistent with Moderate.",https://doi.org/10.1080/00223980.2010.496647,https://consensus.app/papers/details/6fd73557161f5dd09a0feaf2dd629fd1/?utm_source=claude_code,https://consensus.app/search/new?q=time+blocking+time+management+training+work+performance+randomized+controlled+trial&utm_source=claude_code&mode=quick,Mostly agree,"This supports time-management training that includes scheduling, but not time blocking specifically. The lack of performance improvement should be emphasized.",Agree,"Correct that this tests time-management training including scheduling, not time blocking specifically, and the null performance result deserves emphasis. I already called it a mixed result consistent with Moderate."
Time blocking,"Reserve calendar blocks in advance for specific work you want to do during them, for time to rest, for time to exercise, etc.",Moderate Evidence,Backup 1,"Vizeshfar et al., 2022, Acute and Critical Care","RCT, 215 nurses: a time-management workshop significantly improved time-management and prioritization scores vs control, sustained at 3-month follow-up.","Larger RCT confirming planning/scheduling training improves time-management skills, though it measures self-reported skill rather than time blocking specifically, supporting Moderate.",,https://consensus.app/papers/details/b39b5a984f2c5ce68ac5f6bd6ce78c2c/?utm_source=claude_code,https://consensus.app/search/new?q=time+blocking+time+management+training+work+performance+randomized+controlled+trial&utm_source=claude_code&mode=quick,Mostly agree,"Good RCT evidence for time-management skills, but not a direct test of calendar time blocking; outcomes are mainly self-reported skills/prioritization.",Agree,"I agree it measures self-reported time-management skill, not calendar time blocking directly; my reasoning already flagged that. As a backup it adds a larger RCT confirming the planning-training construct."
Time blocking,"Reserve calendar blocks in advance for specific work you want to do during them, for time to rest, for time to exercise, etc.",Moderate Evidence,Backup 2,"Lidström Holmqvist et al., 2026, Disability and Rehabilitation","Pragmatic RCT, 75 adults: a structured time-management program improved time-management, planning, and self-efficacy, but did not beat usual occupational therapy.","On-construct RCT showing within-group gains but no advantage over an active control, illustrating the modest, comparator-dependent evidence behind a Moderate ranking.",,https://consensus.app/papers/details/d624a580314f564696dc419fc37976b4/?utm_source=claude_code,https://consensus.app/search/new?q=time+blocking+time+management+training+work+performance+randomized+controlled+trial&utm_source=claude_code&mode=quick,Mostly agree,"Relevant but comparator-dependent: the intervention improved outcomes but did not beat usual occupational therapy. This is moderate evidence, not a strong endorsement of time blocking itself.",Agree,"ChatGPT is right it is comparator-dependent, with gains that did not beat usual occupational therapy. That is exactly the modest, comparator-sensitive picture my reasoning used to justify Moderate."
Accountability partner,Tell someone the exact commitment and report completion on a fixed schedule.,Moderate Evidence,Primary,"Epton et al., 2017, Journal of Consulting and Clinical Psychology","Meta-analysis (N=16,523): goal setting worked best when goals were set publicly and paired with external monitoring of behavior by others (overall d=.34).","Directly tests accountability mechanisms (public goals, external monitoring by others) within a large meta-analysis; moderator effects are real but modest, fitting Moderate.",https://doi.org/10.1037/ccp0000260,https://consensus.app/papers/details/57b1edb60170556ab63cfcd0089c86b6/?utm_source=claude_code,https://consensus.app/search/new?q=accountability+public+commitment+goal+attainment+behavior+change+intervention&utm_source=claude_code&mode=quick,Mostly agree,"This supports public goals/external monitoring as moderators of goal setting, but not a dedicated accountability-partner intervention. The evidence is indirect and the effect is modest.",Agree,"ChatGPT is right that this measures public-goal/external-monitoring moderators rather than a dedicated accountability-partner intervention, and the effect is modest. My original reasoning already flagged this, and it doesn't change the Moderate tier since the mechanism still holds."
Accountability partner,Tell someone the exact commitment and report completion on a fixed schedule.,Moderate Evidence,Backup 1,"Munson et al., 2015, Proceedings of ACM CHI 2015","Randomized field experiment: publicly announcing weekly activity commitments elicited social support but made people less likely to commit, partly offsetting accountability benefits.",On-target RCT of telling others your commitment and reporting results; the mixed finding (support vs reduced commitment) is exactly why accountability sits at Moderate.,https://doi.org/10.1145/2702123.2702524,https://consensus.app/papers/details/c50dfd433c905c36b84183d9b1d6b14c/?utm_source=claude_code,https://consensus.app/search/new?q=accountability+public+commitment+goal+attainment+behavior+change+intervention&utm_source=claude_code&mode=quick,Mostly agree,"This is on-target and usefully mixed: social announcement can increase support but reduce willingness to commit. The reasoning should make the tradeoff clearer, not simply count it as positive evidence.",Agree,"I agree the row should surface the tradeoff explicitly rather than count the mixed finding as plainly positive; ChatGPT's framing sharpens what I meant, and the mixed result is exactly why this sits at Moderate."
Accountability partner,Tell someone the exact commitment and report completion on a fixed schedule.,Moderate Evidence,Backup 2,"Lee et al., 2021, Proceedings of ACM CHI 2021","Large stickK analysis: goal achievement depended on commitment-device configuration, with social (referee/supporter) plus financial stakes ('mixed') most beneficial.","Real-world observational study of social commitment devices supports reporting to others, but its non-experimental design keeps the evidence Moderate.",,https://consensus.app/papers/details/304a01d6595e5484a9aa2de59dc86b42/?utm_source=claude_code,https://consensus.app/search/new?q=accountability+public+commitment+goal+attainment+behavior+change+intervention&utm_source=claude_code&mode=quick,Partially agree,"Large real-world data are useful, but stickK users self-select into commitment structures, so the evidence is observational and confounded. It supports plausibility, not causal proof.",Agree,"I agree stickK users self-select, so this is observational and confounded. My reasoning already conceded the non-experimental design; it supports plausibility as a backup, consistent with the Moderate tier."
Self-compassion break,"Notice suffering, remind yourself it is human, and speak to yourself as a good coach would.",Moderate Evidence,Primary,"Ferrari et al., 2019, Mindfulness","Meta-analysis of 27 RCTs: self-compassion interventions improved 11 outcomes, with moderate effects on self-compassion (g=0.75), stress (0.67), depression (0.66) and anxiety (0.57).","RCT-only meta-analysis directly on self-compassion practices (which include the self-compassion break) shows consistent moderate effects, with noted publication bias supporting a Moderate ranking.",https://doi.org/10.1007/s12671-019-01134-6,https://consensus.app/papers/details/ee7c9b0efe0e5e44869f441771046f5d/?utm_source=claude_code,https://consensus.app/search/new?q=self-compassion+intervention+wellbeing+randomized+controlled+trial+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"The evidence is for multi-session self-compassion interventions broadly, not specifically the brief “self-compassion break.” Publication-bias concerns also argue for cautious wording.",Agree,"ChatGPT is right that this covers multi-session self-compassion broadly, not the brief break specifically, and publication bias warrants cautious wording. The break is a component of these protocols, so the broader evidence still supports Moderate."
Self-compassion break,"Notice suffering, remind yourself it is human, and speak to yourself as a good coach would.",Moderate Evidence,Backup 1,"Han & Kim, 2023, Mindfulness","Meta-analysis of 56 RCTs: self-compassion interventions had small-to-medium effects on depression, anxiety and stress post-test, though overall risk of bias was high.","Larger, more recent RCT meta-analysis replicates small-to-moderate benefits while flagging high bias and few active-control comparisons, reinforcing a Moderate ranking.",https://doi.org/10.1007/s12671-023-02148-x,https://consensus.app/papers/details/0b9e1bb1b2ab593887bf6c69435923d7/?utm_source=claude_code,https://consensus.app/search/new?q=self-compassion+intervention+wellbeing+randomized+controlled+trial+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"Good broad meta-analysis, but it flags high risk of bias and few active-control comparisons. It supports Moderate evidence, not strong confidence in a brief standalone break.",Agree,"I agree this large meta-analysis flags high bias and few active controls, and supports Moderate rather than strong confidence in a standalone brief break. My reasoning already noted both caveats."
Acts of kindness,Perform small concrete helpful acts and notice their effects on others and yourself.,Moderate Evidence,Primary,"Lim et al., 2024, Social Psychiatry and Psychiatric Epidemiology","Three RCTs (N=4,284): doing at least one act of kindness per week for 4 weeks produced small but significant reductions in loneliness and social isolation in the US and UK.","Large multi-country RCT of the exact 'small acts of kindness' instruction shows real but small and country-inconsistent effects, squarely Moderate.",https://doi.org/10.1007/s00127-024-02740-z,https://consensus.app/papers/details/23041ec726e75da7ba353136d9603409/?utm_source=claude_code,https://consensus.app/search/new?q=acts+of+kindness+intervention+happiness+wellbeing+randomized+controlled+trial&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Acts of kindness,Perform small concrete helpful acts and notice their effects on others and yourself.,Moderate Evidence,Backup 1,"Wieners et al., 2021, International Journal of Wellbeing","RCT, 222 students: a 4-week acts-of-kindness intervention raised mental wellbeing most when directed at strong social ties; positive-emotion/self-esteem mediation was not supported.","On-target RCT showing kindness boosts wellbeing but effects depend on target and lack clear mechanisms, consistent with Moderate evidence.",https://doi.org/10.5502/ijw.v11i1.1349,https://consensus.app/papers/details/281570361b2d5df68e1fe6a64ba0b6f4/?utm_source=claude_code,https://consensus.app/search/new?q=acts+of+kindness+intervention+happiness+wellbeing+randomized+controlled+trial&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Acts of kindness,Perform small concrete helpful acts and notice their effects on others and yourself.,Moderate Evidence,Backup 2,"Haydon et al., 2023, The Journal of Positive Psychology","Pilot RCT, 137 breast cancer survivors: acts of kindness for others increased perceived social support, but no differences emerged on wellbeing or depressive symptoms.","A pilot RCT with null primary outcomes included for honesty; it shows targeted benefits but mixed results, illustrating why kindness sits at Moderate.",https://doi.org/10.1080/17439760.2022.2131609,https://consensus.app/papers/details/7460dd5dc9f35a61991e716d3782b0ec/?utm_source=claude_code,https://consensus.app/search/new?q=acts+of+kindness+intervention+happiness+wellbeing+randomized+controlled+trial&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Expressive writing,Privately write for 15–20 minutes about a stressful event and what it means.,Moderate Evidence,Primary,"Guo, 2022, British Journal of Clinical Psychology","Meta-analysis of 31 RCTs (N=4,012): expressive writing had a small but significant effect on depression, anxiety and stress (g=-0.12), emerging at follow-up.","RCT-only meta-analysis of the exact Pennebaker paradigm shows a real but small, delayed effect, matching a Moderate ranking.",https://doi.org/10.1111/bjc.12408,https://consensus.app/papers/details/c9f703e0dcc155cfaf80a9d1f93747b5/?utm_source=claude_code,https://consensus.app/search/new?q=expressive+writing+emotional+disclosure+stressful+event+health+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
